id,ts_et,trade_date,setup_name,direction,grade,paradigm,spot,lis,target,greek_alignment,overvix,vix,vix3m,vix_vix3m_ratio,outcome_result,outcome_pnl,outcome_max_profit,outcome_max_loss,d_has_context,d_apollo_am,d_apollo_pm,d_pro_bias,d_regime_tags,d_named_patterns,d_key_levels,d_bias_alignment,d_bias_score,d_apollo_paradigm_match,d_near_discord_level,d_align_score,d_align_strong,d_aligned,d_pat_backside_short,d_pat_fade_rally_undervix_exhaustion,d_pat_apollo_fade_call,d_pat_volatility_spike_pause_candidate,d_pat_dd_concentration_magnet,d_pat_darkmatter_vanna_walk,d_pat_108_orders_7300,d_pat_wizard_vix_warning,d_pat_jpm_collar_short,d_pat_apollo_iceberg_3k_seller_7430,d_pat_vanna_tower_sequential,d_pat_darkmatter_breadth,d_pat_gex_pure,d_pat_yahya_dealer_setup_long,d_pat_darkmatter_target,d_pat_never_under,d_pat_apollo_weekly_top_call_6650,d_pat_gap_day,d_reg_overvixed,d_reg_holiday_closed,d_reg_watch_vix,d_reg_undervixing,d_reg_overvixing,d_reg_dd_supportive,d_reg_undervixing_extreme,d_reg_rally,d_reg_negative_vanna_both_weeks,d_reg_geopolitical_overnight_gap,d_reg_breadth_divergence_warning,d_reg_gap_up_3pct,d_reg_trump_iran_headline,d_reg_overvixed_choppy,d_reg_vanna_supportive_pm,d_reg_slightly_overvixing,d_reg_ceasefire_pop,d_reg_large_neg_dd,d_reg_selloff,d_reg_vol_elevated,d_reg_flow_divergence_warning,d_reg_negative_vanna_tenors,d_reg_dd_neutral_pm
995,2026-03-20 09:45:42.488134,2026-03-20,Skew Charm,SHORT,C,GEX-LIS,6591.02,,6581.02,-1,-1.21,24.71,26.010000228881836,0.9500192150156809,WIN,20.5,38.98,-0.77,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
996,2026-03-20 10:00:24.843965,2026-03-20,ES Absorption,BULLISH,A,GEX-LIS,6558.07,6570.0,6574.0,1,-0.77,25.81,26.600000381469727,0.9703007379646482,LOSS,-8.0,9.25,-8.0,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
997,2026-03-20 10:01:44.707688,2026-03-20,DD Exhaustion,SHORT,A,GEX-LIS,6555.68,,,-1,-0.7,25.99,26.600000381469727,0.9770676551608372,WIN,13.8,22.62,-9.01,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
998,2026-03-20 10:17:13.184178,2026-03-20,GEX Long,LONG,A-Entry,GEX-LIS,6549.73,6554.0,6560.0,1,-0.57,26.34,26.959999084472656,0.977003000536831,WIN,7.5,10.08,-7.17,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999,2026-03-20 10:24:42.315273,2026-03-20,Skew Charm,SHORT,C,GEX-LIS,6546.79,,6536.79,-1,-0.49,26.5,27.0,0.9814814814814815,LOSS,-14.0,8.34,-15.08,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,2026-03-20 10:39:12.566657,2026-03-20,DD Exhaustion,SHORT,A,GEX-LIS,6550.93,,,-1,-0.61,26.26,26.850000381469727,0.9780260568682558,LOSS,-1.0,12.48,-13.08,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,2026-03-20 10:55:42.384267,2026-03-20,Skew Charm,SHORT,C,GEX-LIS,6542.21,,6532.21,-1,-0.57,26.35,26.860000610351562,0.9810126359358677,LOSS,-14.0,-1.73,-14.81,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,2026-03-20 11:01:50.312268,2026-03-20,ES Absorption,BEARISH,A,GEX-LIS,6555.64,6545.0,6550.0,-1,-0.78,25.85,26.809999465942383,0.9641924847047498,LOSS,-8.0,9.5,-15.75,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,2026-03-20 11:13:42.376478,2026-03-20,DD Exhaustion,SHORT,A+,GEX-LIS,6554.9,,,-1,-0.82,25.76,26.65999984741211,0.9662415659203587,WIN,13.4,21.84,-9.79,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,2026-03-20 11:23:25.839053,2026-03-20,ES Absorption,BEARISH,LOG,GEX-LIS,6546.62,6545.0,6550.0,-1,-0.75,25.91,26.639999389648438,0.9725976198808738,LOSS,-8.0,0.5,-18.5,0,,,,,,[],no_bias,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
