id,trade_date,setup_name,grade,ts_et,spot,charm_limit,offset,filled,fill_time,market_sl,limit_sl,market_outcome,market_pnl,limit_outcome,limit_pnl,change
719,2026-03-12,AG Short,A,2026-03-12 10:08,6716.31,6724.5,8.19,NO,,6724.3,,WIN,16.1,TIMEOUT,0.0,lost opp 16.1
725,2026-03-12,AG Short,A,2026-03-12 10:57,6698.43,6701.0,2.57,NO,,6706.4,,WIN,11.7,TIMEOUT,0.0,lost opp 11.7
728,2026-03-12,AG Short,A,2026-03-12 11:25,6689.41,6701.0,11.59,YES,11:35,6697.4,6709.0,LOSS,-20.0,WIN,11.4,FLIP LOSS->WIN
736,2026-03-12,AG Short,A,2026-03-12 12:13,6695.77,6701.0,5.23,YES,12:15,6703.8,6709.0,LOSS,-20.0,LOSS,-8.0,reduced 12.0
760,2026-03-13,Skew Charm,B,2026-03-13 09:48,6729.5,6738.0,8.5,NO,,6743.5,,WIN,6.4,TIMEOUT,0.0,lost opp 6.4
779,2026-03-13,BofA Scalp,A-Entry,2026-03-13 12:04,6649.89,6658.0,8.11,YES,12:10,6663.9,6670.1,EXPIRED,-4.8,WIN,17.9,FLIP EXPIRED->WIN
791,2026-03-13,Paradigm Reversal,A-Entry,2026-03-13 13:13,6653.74,6658.0,4.26,YES,13:15,6668.7,6673.0,WIN,10.0,WIN,10.0,0.0
801,2026-03-13,BofA Scalp,A,2026-03-13 14:11,6643.86,6648.0,4.14,YES,14:30,6657.9,6664.1,EXPIRED,-7.0,WIN,12.9,FLIP EXPIRED->WIN
802,2026-03-13,DD Exhaustion,A,2026-03-13 14:25,6637.86,6648.0,10.14,YES,14:30,6649.9,6660.0,LOSS,-12.0,WIN,12.6,FLIP LOSS->WIN
803,2026-03-13,BofA Scalp,A,2026-03-13 14:32,6646.97,6662.5,15.53,NO,,6661.0,,EXPIRED,-1.8,TIMEOUT,0.0,saved 1.8
807,2026-03-13,Paradigm Reversal,A-Entry,2026-03-13 14:58,6651.64,6658.0,6.36,NO,,6666.6,,WIN,10.0,TIMEOUT,0.0,lost opp 10.0
810,2026-03-13,BofA Scalp,A-Entry,2026-03-13 15:12,6648.29,6658.0,9.71,NO,,6662.3,,WIN,10.0,TIMEOUT,0.0,lost opp 10.0
811,2026-03-13,DD Exhaustion,A+,2026-03-13 15:23,6636.44,6651.0,14.56,NO,,6648.4,,WIN,6.8,TIMEOUT,0.0,lost opp 6.8
812,2026-03-13,Skew Charm,C,2026-03-13 15:23,6636.44,6651.0,14.56,NO,,6650.4,,WIN,7.3,TIMEOUT,0.0,lost opp 7.3
813,2026-03-16,Skew Charm,A,2026-03-16 09:46,6713.44,6724.5,11.06,NO,,6727.4,,WIN,14.5,TIMEOUT,0.0,lost opp 14.5
818,2026-03-16,DD Exhaustion,A,2026-03-16 10:25,6719.05,6727.5,8.45,NO,,6731.1,,WIN,18.8,TIMEOUT,0.0,lost opp 18.8
819,2026-03-16,Skew Charm,A,2026-03-16 10:27,6718.14,6727.5,9.36,NO,,6732.1,,WIN,16.9,TIMEOUT,0.0,lost opp 16.9
827,2026-03-16,AG Short,A-Entry,2026-03-16 11:34,6714.41,6717.5,3.09,NO,,6722.4,,WIN,13.2,TIMEOUT,0.0,lost opp 13.2
832,2026-03-16,BofA Scalp,A+,2026-03-16 12:11,6700.39,6716.0,15.61,NO,,6714.4,,WIN,10.0,TIMEOUT,0.0,lost opp 10.0
838,2026-03-16,Skew Charm,B,2026-03-16 13:14,6703.75,6711.5,7.75,NO,,6717.8,,LOSS,-20.0,TIMEOUT,0.0,saved 20.0
839,2026-03-16,DD Exhaustion,A,2026-03-16 13:17,6700.53,6717.5,16.97,NO,,6712.5,,LOSS,-12.0,TIMEOUT,0.0,saved 12.0
844,2026-03-16,BofA Scalp,A,2026-03-16 13:59,6698.13,6708.0,9.87,YES,14:15,6712.1,6722.9,EXPIRED,-8.3,LOSS,-14.9,FLIP EXPIRED->LOSS
847,2026-03-16,DD Exhaustion,A,2026-03-16 14:13,6702.77,6716.0,13.23,NO,,6714.8,,LOSS,-12.0,TIMEOUT,0.0,saved 12.0
