date,time_et,bar_idx,direction,entry_price,scenario,vol_ratio_raw,vol_ratio_rate,vol_per_sec,duration_sec,volume,div_raw,div_gap,cvd_norm,grade_estimate,score_estimate,outcome,pnl,mfe,mae,bars_held
2026-03-02,09:30:06,304,short,6809.0,A,1.7976,5.3111,347.2991,14.31,4971,2,0.5117,0.749,B,20.8,LOSS,-8,4.5,-8.75,4
2026-03-02,09:30:06,304,short,6809.0,B,1.7976,5.3111,347.2991,14.31,4971,2,0.5117,0.749,B,20.8,LOSS,-8,4.5,-8.75,4
2026-03-02,09:30:06,304,short,6809.0,C,1.7976,5.3111,347.2991,14.31,4971,2,0.5117,0.749,B,20.8,LOSS,-8,4.5,-8.75,4
2026-03-02,09:35:56,321,short,6844.0,A,1.985,0.6217,131.9644,53.84,7105,1,0.2778,1.0,C,14.5,WIN,10,11.75,-5.0,8
2026-03-02,09:39:00,327,short,6837.5,B,0.3046,1.7688,288.2257,4.01,1155,1,0.3713,0.6172,C,14.5,LOSS,-8,5.25,-10.0,13
2026-03-02,09:42:03,336,short,6845.0,A,2.3941,0.7057,99.1981,76.38,7577,2,0.5882,1.0,A,29.2,LOSS,-8,8.25,-9.0,9
2026-03-02,09:45:11,342,short,6851.5,B,1.2011,1.7188,215.6876,15.98,3446,1,0.3559,1.0,C,14.5,LOSS,-8,8.5,-9.5,30
2026-03-02,09:48:32,348,short,6857.25,A,1.4743,0.6045,70.1356,64.87,4550,1,0.381,1.0,C,14.5,WIN,10,10.75,-0.75,3
2026-03-02,09:52:06,352,long,6843.0,B,1.1353,1.5174,153.8621,24.5,3770,2,0.5561,-0.8061,B,20.8,WIN,10,11.75,0.0,10
2026-03-02,09:53:05,355,long,6848.25,A,1.4017,1.0304,111.9279,42.67,4776,1,0.3671,-0.8671,C,14.5,WIN,10,12.75,-4.5,17
2026-03-02,10:00:10,366,long,6853.5,B,0.4727,1.4648,134.5161,11.75,1580,1,0.3633,-0.2995,C,14.5,LOSS,-8,0.75,-8.75,2
2026-03-02,10:03:38,375,short,6864.75,B,0.5859,1.5801,152.0191,10.87,1653,1,0.2017,0.6958,C,14.5,LOSS,-8,1.75,-9.0,7
2026-03-02,10:04:15,378,short,6868.0,A,1.4887,0.727,75.9975,47.37,3600,1,0.206,0.9186,C,14.5,LOSS,-8,4.5,-9.5,8
2026-03-02,10:18:39,392,long,6872.5,A,1.7013,0.821,91.2046,92.7,8455,2,0.4072,-0.2272,B,20.8,LOSS,-8,0.0,-9.5,2
2026-03-02,10:23:09,397,long,6868.75,B,0.1586,1.7858,174.9856,4.83,845,1,0.2528,-0.6128,C,14.5,LOSS,-8,1.75,-8.75,5
2026-03-02,10:27:37,403,short,6856.75,A,1.4381,0.7784,71.0272,99.19,7045,3,1.1636,1.0,B,27.0,LOSS,-8,8.5,-10.0,14
2026-03-02,10:39:04,415,long,6859.0,A,1.509,0.9141,67.4518,75.27,5077,2,0.5012,-0.152,B,20.8,WIN,10,11.75,-0.5,3
2026-03-02,10:44:40,418,short,6870.75,A,1.79,0.6739,42.3199,164.53,6963,1,0.224,0.8573,C,14.5,WIN,10,11.25,-1.75,6
2026-03-02,11:26:21,441,long,6860.5,B,0.7984,1.494,68.4009,55.73,3812,1,0.2469,-1.0,C,14.5,WIN,10,13.25,-7.25,9
2026-03-02,12:41:08,476,short,6894.25,A,1.5237,0.5939,23.3905,362.75,8485,1,0.3639,0.1639,C,14.5,WIN,10,11.75,-4.5,10
