date,bar_idx,direction,is_multi,et_end,entry_price,delta,volume,body_ratio,vol_ratio,mfe,mae,bars_to_mfe,sl8_tp10,sl8_tp10_pnl,paradigm,lis_val,lis_dist,dd_dir,svb_val,paradigm_aligned,dd_aligned,charm_aligned
2026-03-02,330,bearish,False,09:40:09,6839.0,666,3860,0.35,1.0116629537413182,4.0,19.0,3.0,LOSS,-8.0,BofA-LIS,6815.0,24.0,neutral,2.07,False,False,False
2026-03-02,343,bearish,True,09:46:11,6847.75,1464,8630,0.2,1.7523873911941181,4.75,16.0,9.0,LOSS,-8.0,BofA-LIS,6818.0,29.75,neutral,2.2,False,False,False
2026-03-02,357,bullish,False,09:55:28,6852.5,-379,7067,0.6,2.1395377000045412,25.0,8.75,29.0,LOSS,-8.0,SIDIAL-MESSY,6809.0,43.5,neutral,1.76,False,False,False
2026-03-02,383,bullish,False,10:09:06,6867.0,-555,4843,0.35,1.6212506695232995,10.75,18.75,7.0,WIN,10.0,GEX-PURE,6803.0,64.0,neutral,1.52,True,False,False
2026-03-02,390,bearish,True,10:17:59,6872.75,911,11519,0.3103448275862069,1.2184805419335196,24.5,1.75,22.0,WIN,10.0,GEX-PURE,6801.0,71.75,neutral,1.43,False,False,True
2026-03-02,400,bearish,True,10:25:48,6863.75,670,6800,0.2692307692307692,0.39219714443126746,15.5,9.0,12.0,WIN,10.0,GEX-TARGET,6799.0,64.75,neutral,1.5,False,False,True
2026-03-02,404,bullish,False,10:30:09,6859.75,-306,3272,0.6,0.6532307170165405,21.0,11.5,29.0,LOSS,-8.0,GEX-TARGET,6797.0,62.75,neutral,1.56,True,False,False
2026-03-02,433,bearish,False,11:11:36,6880.75,304,9708,0.35,2.0856562792046667,27.5,13.75,12.0,WIN,10.0,GEX-PURE,6853.0,27.75,neutral,1.28,False,False,True
2026-03-02,436,bullish,True,11:18:41,6876.0,-1207,8639,0.045454545454545456,0.157727225784646,18.5,22.75,20.0,LOSS,-8.0,GEX-PURE,6853.0,23.0,neutral,1.28,True,False,False
2026-03-02,446,bearish,True,11:34:22,6858.25,677,9357,0.35,0.6870530673692133,1.0,38.25,1.0,LOSS,-8.0,GEX-LIS,6843.0,15.25,neutral,1.82,False,False,True
2026-03-02,448,bullish,False,11:35:56,6864.25,-950,8026,0.4,1.5721225417221656,33.5,0.5,30.0,WIN,10.0,GEX-LIS,6840.0,24.25,neutral,1.82,True,False,False
2026-03-02,468,bearish,False,12:24:27,6896.5,965,15693,0.35,2.5801731295676693,20.5,4.0,25.0,WIN,10.0,GEX-PURE,6857.0,39.5,neutral,1.15,False,False,True
2026-03-02,471,bullish,True,12:32:20,6891.5,-725,10827,0.0,0.24727634374576193,15.25,15.5,29.0,LOSS,-8.0,GEX-PURE,6860.0,31.5,neutral,1.22,True,False,False
