date,bar_idx,direction,is_multi,entry_price,et_end,delta,volume,body_ratio,vol_ratio,paradigm,lis_val,lis_dist,dd_dir,svb_val,charm_val,paradigm_aligned,dd_aligned,charm_aligned,A_outcome,A_pnl,A_max_profit,A_bars_held,A_mfe,A_mae,B_outcome,B_pnl,B_max_profit,B_bars_held,B_mfe,B_mae,C_outcome,C_pnl,C_max_profit,C_bars_held,C_mfe,C_mae,D_outcome,D_pnl,D_max_profit,D_bars_held,D_mfe,D_mae,E_outcome,E_pnl,E_max_profit,E_bars_held,E_mfe,E_mae,F_outcome,F_pnl,F_max_profit,F_bars_held,F_mfe,F_mae,fixed_outcome,fixed_pnl
2026-03-02,330,bearish,False,6839.0,09:40:09,666,3860,0.35,1.0116629537413182,BofA-LIS,6815.0,24.0,neutral,2.07,25253208.0,False,False,False,LOSS,-8.0,4.0,10,4.0,8.5,LOSS,-8.0,4.0,10,4.0,8.5,LOSS,-8.0,4.0,10,4.0,8.5,LOSS,-8.0,4.0,10,4.0,8.5,T1:LOSS/T2:LOSS,-8.0,4.0,10,4.0,8.5,LOSS,-4.0,4.0,6,4.0,6.0,LOSS,-8.0
2026-03-02,343,bearish,True,6847.75,09:46:11,1464,8630,0.2,1.7523873911941181,BofA-LIS,6818.0,29.75,neutral,2.2,17908298.0,False,False,False,LOSS,-8.0,1.0,4,1.0,8.0,LOSS,-8.0,1.0,4,1.0,8.0,LOSS,-8.0,1.0,4,1.0,8.0,LOSS,-8.0,1.0,4,1.0,8.0,T1:LOSS/T2:LOSS,-8.0,1.0,4,1.0,8.0,LOSS,-7.0,1.0,4,1.0,8.0,LOSS,-8.0
2026-03-02,357,bullish,False,6852.5,09:55:28,-379,7067,0.6,2.1395377000045412,SIDIAL-MESSY,6809.0,43.5,neutral,1.76,-613785.0,False,False,False,LOSS,-8.0,0.25,2,0.25,8.5,LOSS,-8.0,0.25,2,0.25,8.5,LOSS,-8.0,0.25,2,0.25,8.5,LOSS,-8.0,0.25,2,0.25,8.5,T1:LOSS/T2:LOSS,-8.0,0.25,2,0.25,8.5,LOSS,-7.75,0.25,2,0.25,8.5,LOSS,-8.0
2026-03-02,383,bullish,False,6867.0,10:09:06,-555,4843,0.35,1.6212506695232995,GEX-PURE,6803.0,64.0,neutral,1.52,-50615412.0,True,False,False,WIN,5.5,10.5,3,10.5,1.75,BE,0.0,10.75,11,10.75,4.0,BE,0.0,10.75,11,10.75,4.0,WIN,5.5,10.5,3,10.5,1.75,T1:WIN/T2:WIN,7.75,10.5,3,10.5,1.75,WIN,2.75,10.75,8,10.75,1.75,WIN,10.0
2026-03-02,390,bearish,True,6872.75,10:17:59,911,11519,0.3103448275862069,1.2184805419335196,GEX-PURE,6801.0,71.75,neutral,1.43,-33153956.0,False,False,True,WIN,8.75,13.75,5,13.75,1.75,WIN,5.75,13.75,7,13.75,1.75,WIN,14.5,24.5,24,24.5,1.75,WIN,8.75,13.75,5,13.75,1.75,T1:WIN/T2:WIN,9.38,13.75,5,13.75,1.75,WIN,5.75,13.75,7,13.75,1.75,WIN,10.0
2026-03-02,400,bearish,True,6863.75,10:25:48,670,6800,0.2692307692307692,0.39219714443126746,GEX-TARGET,6799.0,64.75,neutral,1.5,-32139281.0,False,False,True,WIN,5.25,10.25,7,10.25,3.25,WIN,7.5,15.5,13,15.5,3.25,WIN,5.5,15.5,14,15.5,3.25,WIN,5.25,10.25,7,10.25,3.25,T1:WIN/T2:WIN,7.62,10.25,7,10.25,3.25,WIN,1.0,9.0,5,9.0,3.25,WIN,10.0
2026-03-02,404,bullish,False,6859.75,10:30:09,-306,3272,0.6,0.6532307170165405,GEX-TARGET,6797.0,62.75,neutral,1.56,-22453774.0,True,False,False,LOSS,-8.0,3.25,4,3.25,10.25,LOSS,-8.0,3.25,4,3.25,10.25,LOSS,-8.0,3.25,4,3.25,10.25,LOSS,-8.0,3.25,4,3.25,10.25,T1:LOSS/T2:LOSS,-8.0,3.25,4,3.25,10.25,LOSS,-4.75,3.25,2,3.25,5.25,LOSS,-8.0
2026-03-02,433,bearish,False,6880.75,11:11:36,304,9708,0.35,2.0856562792046667,GEX-PURE,6853.0,27.75,neutral,1.28,-43428928.0,False,False,True,WIN,7.5,12.5,5,12.5,0.0,WIN,19.25,27.25,11,27.25,0.0,WIN,17.5,27.5,15,27.5,0.0,WIN,7.5,12.5,5,12.5,0.0,T1:WIN/T2:WIN,8.75,12.5,5,12.5,0.0,WIN,19.25,27.25,11,27.25,0.0,WIN,10.0
2026-03-02,436,bullish,True,6876.0,11:18:41,-1207,8639,0.045454545454545456,0.157727225784646,GEX-PURE,6853.0,23.0,neutral,1.28,-43947023.0,True,False,False,LOSS,-8.0,0.5,4,0.5,11.5,LOSS,-8.0,0.5,4,0.5,11.5,LOSS,-8.0,0.5,4,0.5,11.5,LOSS,-8.0,0.5,4,0.5,11.5,T1:LOSS/T2:LOSS,-8.0,0.5,4,0.5,11.5,LOSS,-7.5,0.5,2,0.5,7.75,LOSS,-8.0
2026-03-02,446,bearish,True,6858.25,11:34:22,677,9357,0.35,0.6870530673692133,GEX-LIS,6843.0,15.25,neutral,1.82,-18987042.0,False,False,True,LOSS,-8.0,1.0,3,1.0,10.5,LOSS,-8.0,1.0,3,1.0,10.5,LOSS,-8.0,1.0,3,1.0,10.5,LOSS,-8.0,1.0,3,1.0,10.5,T1:LOSS/T2:LOSS,-8.0,1.0,3,1.0,10.5,LOSS,-7.0,1.0,3,1.0,10.5,LOSS,-8.0
