trade_date,time_et_str,direction,bar_idx,close,delta,outcome,pnl,bars_held,max_fav,is_swing_high,is_swing_low,bars_since_swing_high,bars_since_swing_low,cvd_price_div_5,cvd_price_div_8,price_trend_5,price_trend_8,trend_consistency_5,trend_bars,delta_cluster_len,delta_cluster_sum,delta_zscore,delta_percentile,vol_rate_zscore,is_volume_climax,is_at_extreme_10,is_at_extreme_20,bar_position_in_range_20,body_ratio,trend_reversal_score,paradigm,lis,svb,lis_dist
2026-03-02,09:31,BEAR,310,6825.0,1371,LOSS,-4.25,3,3.75,0.0,0.0,30.0,4.0,0.0,0.0,20.0,0.0,0.8,4.0,5.0,2351.0,7.108526373672261,1.0,-0.33317277863123523,0.0,1.0,1.0,1.0,0.95,0.6100000000000001,BofA-LIS,,-15.51,
2026-03-02,10:03,BEAR,376,6869.25,654,LOSS,-1.75,5,6.25,1.0,0.0,13.0,7.0,0.0,0.0,12.25,24.5,0.8,1.0,8.0,2623.0,2.1572907616243024,0.9666666666666667,2.599133677799151,0.0,1.0,1.0,1.0,0.9,0.5538193841082869,SIDIAL-MESSY,,1.81,
2026-03-02,11:07,BEAR,432,6879.0,994,WIN,17.5,12,25.5,0.0,0.0,9.0,7.0,0.0,0.0,16.75,19.5,0.8,4.0,3.0,2051.0,3.0885642465812766,1.0,-0.11342600668610298,0.0,1.0,1.0,1.0,0.75,0.55,GEX-PURE,6854.0,1.42,25.0
2026-03-02,13:46,BULL,489,6877.75,-882,LOSS,-1.25,4,6.75,0.0,0.0,1.0,16.0,0.0,0.0,-10.5,-12.75,0.8,1.0,2.0,-1400.0,-1.3300311037170935,0.9,23.63148103828138,1.0,-1.0,-1.0,0.0,1.0,0.5586687402478063,GEX-LIS,6781.0,1.49,96.75
2026-03-02,14:15,BEAR,498,6900.5,1109,LOSS,-6.75,4,1.25,0.0,0.0,7.0,5.0,0.0,0.0,19.5,18.25,1.0,5.0,6.0,3900.0,1.8680909937114796,0.9666666666666667,2.7064294201332664,1.0,1.0,1.0,1.0,0.95,0.7245393995807653,GEX-LIS,6834.0,1.33,66.5
2026-03-02,15:54,BEAR,551,6895.0,409,EXPIRED,9.75,4,9.75,0.0,0.0,5.0,2.0,0.9180588295582658,1.1090884899343396,8.75,10.25,0.6,2.0,1.0,409.0,2.17125911817937,0.7333333333333333,1.607108724520955,1.0,1.0,1.0,1.0,0.8,0.7447506078786247,BOFA-PURE,,1.68,
2026-03-03,09:34,BULL,338,6769.0,-169,WIN,17.0,15,25.0,0.0,0.0,6.0,30.0,-0.799755272832553,-0.9180696122397302,-10.25,-12.75,0.8,2.0,1.0,-169.0,-1.1239662796034087,0.7142857142857143,-0.0462393841326661,0.0,-1.0,-1.0,0.0,0.85,0.564931085306894,BofA-LIS,,,
2026-03-03,09:36,BEAR,346,6785.5,692,LOSS,-3.75,5,4.25,0.0,0.0,14.0,6.0,0.0,0.0,13.5,16.5,0.8,3.0,5.0,1412.0,3.290399525020857,1.0,1.9362888858454566,0.0,1.0,0.0,0.925531914893617,0.9,0.6100000000000001,AG-PURE,6822.0,3.05,36.5
2026-03-03,10:16,BULL,457,6737.75,-566,LOSS,-4.0,2,4.0,0.0,0.0,5.0,7.0,0.0,0.0,-10.25,-8.5,0.8,2.0,3.0,-877.0,-3.622390993087588,0.9666666666666667,1.8638687485071714,0.0,-1.0,-1.0,0.0,0.95,0.55,AG-PURE,6747.0,3.79,9.25
2026-03-03,11:43,BEAR,606,6791.0,345,LOSS,-1.25,3,6.75,0.0,0.0,5.0,3.0,0.0,0.0,10.0,9.25,0.6,3.0,4.0,795.0,1.5997446477333108,0.8666666666666667,5.00054559168102,1.0,1.0,1.0,1.0,0.8,0.5966496431822207,BofA-LIS,,2.66,
2026-03-03,13:00,BEAR,684,6809.0,753,LOSS,-3.0,4,5.0,0.0,0.0,8.0,4.0,0.0,0.0,15.0,6.25,0.8,4.0,5.0,1464.0,2.531245357250442,0.9666666666666667,0.5447180076934159,0.0,1.0,1.0,1.0,0.75,0.5787496904833629,BofA-LIS,,2.17,
2026-03-03,13:20,BEAR,696,6816.5,698,LOSS,-5.5,2,2.5,0.0,0.0,8.0,4.0,0.0,0.0,16.5,9.25,0.8,4.0,1.0,698.0,2.049962767789884,0.9666666666666667,6.012793190645346,1.0,1.0,1.0,1.0,0.85,0.5766641845193257,BofA-LIS,,1.91,
2026-03-04,09:47,BEAR,404,6834.75,404,WIN,1.0,6,9.0,0.0,0.0,8.0,5.0,0.0,0.0,12.0,11.25,1.0,5.0,6.0,1238.0,1.764181884502723,1.0,-0.34859851086059523,0.0,1.0,0.0,0.8,0.7,0.5676121256335149,SIDIAL-MESSY,,-0.66,
