trs_t,div_t,dcl_min,dz_min,gate,n_sigs,spd,wr,pnl,max_dd,pf,quality
0.2,0.05,0,0.5,at_extreme,24,1.2,0.542,77.0,-12.2,3.23,248.9
0.3,0.05,0,0.5,at_extreme,24,1.2,0.542,77.0,-12.2,3.23,248.9
0.4,0.05,0,0.5,at_extreme,24,1.2,0.542,77.0,-12.2,3.23,248.9
0.2,0.15,0,0.5,at_extreme,24,1.2,0.542,77.0,-12.2,3.23,248.9
0.35,0.2,0,0.5,at_extreme,24,1.2,0.542,77.0,-12.2,3.23,248.9
0.3,0.1,0,0.5,at_extreme,24,1.2,0.542,77.0,-12.2,3.23,248.9
0.25,0.2,0,0.5,at_extreme,24,1.2,0.542,77.0,-12.2,3.23,248.9
0.25,0.05,0,0.5,at_extreme,24,1.2,0.542,77.0,-12.2,3.23,248.9
0.4,0.15,0,0.5,at_extreme,24,1.2,0.542,77.0,-12.2,3.23,248.9
0.35,0.15,0,0.5,at_extreme,24,1.2,0.542,77.0,-12.2,3.23,248.9
0.4,0.1,0,0.5,at_extreme,24,1.2,0.542,77.0,-12.2,3.23,248.9
0.25,0.15,0,0.5,at_extreme,24,1.2,0.542,77.0,-12.2,3.23,248.9
0.45,0.2,0,0.5,at_extreme,24,1.2,0.542,77.0,-12.2,3.23,248.9
0.3,0.15,0,0.5,at_extreme,24,1.2,0.542,77.0,-12.2,3.23,248.9
0.45,0.15,0,0.5,at_extreme,24,1.2,0.542,77.0,-12.2,3.23,248.9
0.45,0.05,0,0.5,at_extreme,24,1.2,0.542,77.0,-12.2,3.23,248.9
0.2,0.1,0,0.5,at_extreme,24,1.2,0.542,77.0,-12.2,3.23,248.9
0.3,0.2,0,0.5,at_extreme,24,1.2,0.542,77.0,-12.2,3.23,248.9
0.45,0.1,0,0.5,at_extreme,24,1.2,0.542,77.0,-12.2,3.23,248.9
0.35,0.1,0,0.5,at_extreme,24,1.2,0.542,77.0,-12.2,3.23,248.9
0.35,0.05,0,0.5,at_extreme,24,1.2,0.542,77.0,-12.2,3.23,248.9
