id,ts_et,setup_name,direction,grade,score,spot,paradigm,greek_alignment,vix,overvix,outcome_result,outcome_pnl,outcome_max_profit,outcome_max_loss,outcome_elapsed_min,outcome_first_event,outcome_target_level,outcome_stop_level
337,2026-03-02 11:37:43.776226,Skew Charm,short,B,63.0,6860.68,GEX-LIS,0,21.47,,LOSS,-20.0,0.0,-20.97,8,stop,6850.68,6880.68
339,2026-03-02 12:07:43.832686,Skew Charm,short,A,78.0,6877.26,GEX-PURE,0,21.01,,LOSS,-20.0,7.76,-20.61,144,stop,6867.26,6897.26
343,2026-03-02 12:45:15.056682,Skew Charm,short,A,73.0,6882.39,GEX-PURE,0,20.95,,WIN,8.7,12.89,-5.84,87,target,6872.39,6877.5
345,2026-03-02 13:15:44.785499,Skew Charm,short,A,73.0,6884.73,GEX-PURE,0,20.85,,WIN,9.3,15.23,0.0,56,target,6874.73,6877.5
350,2026-03-02 14:00:15.908782,Skew Charm,long,C,48.0,6867.7,GEX-LIS,2,21.46,,WIN,13.7,32.79,0.0,68,target,6877.7,6892.49
352,2026-03-02 14:14:45.003742,Skew Charm,short,C,38.0,6884.28,GEX-LIS,0,20.93,,WIN,10.2,18.79,-16.21,63,target,6874.28,6873.49
356,2026-03-02 14:46:45.023876,Skew Charm,short,C,41.0,6897.01,BOFA-PURE,0,20.47,,WIN,13.4,31.52,-2.71,31,target,6887.01,6873.49
359,2026-03-02 15:10:45.877305,Skew Charm,long,B,56.0,6872.7,BOFA-PURE,2,21.48,,WIN,11.2,14.64,-7.21,47,timeout,,6879.34
363,2026-03-02 15:23:18.989307,Skew Charm,long,LOG,31.0,6872.54,GEX-LIS,2,21.31,,WIN,11.2,14.8,-4.41,35,timeout,,6879.34
365,2026-03-02 15:43:12.333536,Skew Charm,long,C,38.0,6874.28,BOFA-PURE,2,21.5,,WIN,10.8,13.06,-0.26,15,timeout,,6879.34
367,2026-03-03 09:45:10.761194,Skew Charm,long,A,68.0,6746.81,BofA-LIS,2,26.08,,LOSS,-20.0,91.58,-35.45,34,stop,6756.81,6726.81
377,2026-03-03 10:23:11.284409,Skew Charm,long,A,78.0,6713.34,AG-PURE,2,28.01,,WIN,16.39,125.05,-1.98,20,target,6723.34,6729.73
384,2026-03-03 10:53:11.420226,Skew Charm,long,A,78.0,6723.38,AG-PURE,2,27.27,,WIN,46.17,115.01,-3.56,38,target,6733.38,6769.55
392,2026-03-03 11:34:10.702726,Skew Charm,long,A,73.0,6764.57,BofA-LIS,2,25.51,,WIN,4.71,73.82,0.0,9,target,6774.57,6769.28
400,2026-03-03 12:09:11.732143,Skew Charm,long,A,65.0,6785.22,BofA-LIS,2,24.48,,WIN,5.57,53.17,-8.57,24,target,6795.22,6790.79
404,2026-03-03 12:39:11.944027,Skew Charm,long,A,70.0,6780.86,BofA-LIS,2,24.59,,WIN,8.52,57.53,0.0,16,target,6790.86,6789.38
408,2026-03-03 13:13:41.128606,Skew Charm,long,A,65.0,6797.59,BofA-LIS,2,23.93,,WIN,26.87,40.8,-0.52,32,target,6807.59,6824.46
411,2026-03-03 13:46:41.235704,Skew Charm,long,B,60.0,6822.14,BOFA-PURE,2,22.98,,WIN,8.25,16.25,-13.81,67,target,6832.14,6830.39
414,2026-03-03 14:17:10.614506,Skew Charm,long,C,45.0,6821.55,BOFA-PURE,2,22.86,,WIN,8.84,16.84,-13.22,36,target,6831.55,6830.39
418,2026-03-03 14:49:40.762134,Skew Charm,short,C,48.0,6833.88,BOFA-PURE,0,22.4,,WIN,6.92,24.26,-2.18,46,target,6823.88,6826.96
