id,trade_date,setup_name,direction,grade,score,ts_et,spot,charm_limit_entry,abs_es_price,lis,target,Column1,max_plus_gex,max_minus_gex,gap_to_lis,paradigm,vix,overvix,greek_alignment,spot_vol_beta,outcome_result,outcome_pnl,outcome_max_profit,outcome_max_loss,outcome_elapsed_min,outcome_first_event,outcome_target_level,outcome_stop_level,bofa_stop_level,bofa_target_level,abs_vol_ratio,vanna_all,vanna_weekly,vanna_monthly,comments
1,03-02-2026,GEX Long,long,A,80,30:24.1,6986.43,,,6984,7015,28.57,7010,6950,2.43,GEX-PURE,,,1,,LOSS,-8,0,-123.51,14,stop,6998.43,6978.43,,,,,,,
7,03-02-2026,GEX Long,long,A-Entry,65,26:51.8,6919.59,,,6912,6988,68.41,6980,6900,7.59,GEX-LIS,,,1,,LOSS,-8,0,-56.67,3,stop,6931.59,6911.59,,,,,,,
13,03-02-2026,GEX Long,long,A,80,12:21.1,6889.62,,,6886,6928,38.38,6930,6900,3.62,GEX-LIS,,,1,,WIN,15,25.06,0,32,target,6901.62,6909.62,,,,,,,
21,04-02-2026,AG Short,short,A-Entry,65,43:21.8,6932.39,,,6935,6916,16.39,6980,6875,2.61,AG-PURE,,,-1,,WIN,13.2,88.79,0,11,10pt,6916,6952.39,,,,,,,
51,05-02-2026,AG Short,short,A-Entry,60,38:11.1,6839.47,,,6850,6758,81.47,6925,6800,10.53,AG-PURE,,,-1,,WIN,10,59,-13.73,21,10pt,6758,6859.47,,,,,,,
62,05-02-2026,GEX Long,long,A-Entry,70,26:38.9,6810.81,,,6809,6931,120.19,6890,6800,1.81,GEX-LIS,,,1,,WIN,1,26.06,-23.97,23,target,6822.81,6802.81,,,,,,,
79,05-02-2026,GEX Long,long,A,75,05:38.2,6826.94,,,6808,6892,65.06,6890,6800,18.94,GEX-LIS,,,1,,LOSS,-8,6.53,-40.1,19,stop,6838.94,6818.94,,,,,,,
80,05-02-2026,GEX Long,long,A-Entry,65,41:38.3,6809.29,,,6808,6834,24.71,6890,6800,1.29,GEX-PURE,,,1,,WIN,1,24.18,-22.45,48,target,6821.29,6801.29,,,,,,,
96,09-02-2026,GEX Long,long,A+,90,53:39.0,6923.16,,,6922,6945,21.84,7015,6850,0.16,GEX-PURE,,,1,,WIN,15,56.37,-2.07,36,target,6935.16,6943.16,,,,,,,
97,09-02-2026,GEX Long,long,A,75,26:09.5,6942.14,,,6939,6955,12.86,6975,6875,3.14,GEX-LIS,,,1,,WIN,17.5,37.39,0,73,target,6954.14,6967.14,,,,,,,
98,11-02-2026,BofA Scalp,long,A-Entry,60,20:54.7,6925,,,6922,6940,15,,,3,BOFA-PURE,,,0,,EXPIRED,7.94,7.94,-9.92,,timeout,6940,6910,6910,6940,,,,,
99,11-02-2026,AG Short,short,A,75,36:14.0,6931.43,,,6924,6912,19.43,7000,6900,0.57,AG-TARGET,,,-1,,LOSS,-20,6.77,-26.95,48,stop,6921.43,6951.43,,,,,,,
100,11-02-2026,BofA Scalp,long,A-Entry,65,30:49.7,6954.43,,,6956,6969.43,15,,,1.57,BOFA-PURE,,,0,-0.38,EXPIRED,3.01,3.01,-4.88,,timeout,6969.43,6944,6944,6969.43,,-3907412095,-108710271,-1054234554,
101,12-02-2026,BofA Scalp,long,A-Entry,65,14:23.5,6859.94,,,6860,6874.94,15,,,0.06,BOFA-PURE,,,0,1.38,EXPIRED,12.57,12.57,-4.51,,timeout,6874.94,6848,6848,6874.94,,-2353052852,-124870982.3,-1151664826,
103,12-02-2026,BofA Scalp,short,A,80,24:14.7,6874.02,,,6875,6859.02,15,,,0.98,BOFA-PURE,,,0,1.16,EXPIRED,13.67,13.67,-2.78,,timeout,6859.02,6887,6887,6859.02,,-2475280732,-92163758.88,-1253012280,"Enter at the exact top of the 1 min wick, this is incredible! And have 13 points of profit regardless of the closing."
104,12-02-2026,BofA Scalp,long,A,85,59:43.3,6868.95,,,6866,6883.95,15,,,2.95,BOFA-PURE,,,0,1.06,EXPIRED,4.57,4.57,-14.13,,timeout,6883.95,6854,6854,6883.95,,-2499877611,-62468605.57,-1217034505,"Very bad entry, I don’t know why."
105,13-02-2026,BofA Scalp,long,A-Entry,65,14:55.8,6835.35,,,6838,6845.35,10,,,2.65,BofA-LIS,,,0,0.22,WIN,10,26.96,-8.22,15,10pt,6845.35,6826,6826,6845.35,,-1784782556,-47163178.41,-1046776413,
106,13-02-2026,BofA Scalp,long,A-Entry,60,39:26.1,6851.02,,,6854,6861.02,10,,,2.98,BofA-LIS,,,0,-0.44,LOSS,-9.02,5.05,-23.08,6,stop,6861.02,6842,6842,6861.02,,-2077287517,-31512819.02,-990185904.8,
107,13-02-2026,BofA Scalp,short,A-Entry,60,39:19.3,6860.37,,,6863,6850.37,10,,,2.63,BofA-LIS,,,0,-0.85,EXPIRED,0.29,0.29,-13.23,,timeout,6850.37,6875,6875,6850.37,,-2158667287,-62136220.16,-1031039189,
108,13-02-2026,BofA Scalp,short,A-Entry,60,23:40.6,6879.38,,,6879,6869.38,10,,,0.38,BOFA-MESSY,,,0,-1.44,WIN,10,11.52,0,20,10pt,6869.38,6891,6891,6869.38,,-2375144574,-24098146.62,-956847420.2,
109,13-02-2026,GEX Long,long,A,75,59:28.6,6843.8,,,6835,6889,45.2,6935,6850,9.8,GEX-LIS,,,1,-0.83,LOSS,-8,7.2,-25.9,26,stop,6855.8,6835.8,,,,-1750060934,-38419839.7,-753739767,
110,13-02-2026,GEX Long,long,A-Entry,65,16:28.7,6840.35,,,6827,6879,38.65,6935,6850,13.35,GEX-LIS,,,1,-0.69,LOSS,-8,0.36,-22.45,11,stop,6852.35,6832.35,,,,-1620093688,-12305849.51,-651710472.2,
111,13-02-2026,GEX Long,long,A,80,31:18.4,6824.29,,,6823,6880,55.71,6860,6810,1.29,GEX-LIS,,,1,-0.27,EXPIRED,6,7.37,-6.39,,timeout,6836.29,6816.29,,,,-1254653531,-117782569.5,-662132307.1,
112,17-02-2026,AG Short,short,A+,90,04:56.2,6797.56,,,6799,6772,25.56,6885,6770,1.44,AG-PURE,,,-1,0.9,WIN,10,20.38,-68.34,7,10pt,6772,6817.56,,,,-79399587.55,-382677018,-230669462.5,"Caught the top and short it, great!"
113,17-02-2026,AG Short,short,A,85,16:27.5,6794.18,,,6795,6778,16.18,6885,6770,0.82,AG-PURE,,,-1,0.61,LOSS,-5,17,-71.72,3,stop,6784.18,6814.18,,,,-149643387.6,-404078355.3,-258778766.2,"Bad entry, immediate against me."
114,17-02-2026,AG Short,short,A,75,48:02.3,6794.91,,,6796,6773,21.91,6875,6770,1.09,AG-PURE,,,-3,1.06,LOSS,-20,3.26,-70.99,17,stop,6784.91,6814.91,,,,73949583.56,-399789855.7,-202487373.2,
115,17-02-2026,BofA Scalp,long,A,85,45:25.4,6814.52,,,6816,6824.52,10,,,1.48,BOFA-PURE,,,0,-0.39,WIN,10,13.57,-4.44,14,10pt,6824.52,6804,6804,6824.52,,-515443762.2,-324328376.4,-118869486.3,
