id,trade_date,setup_name,direction,grade,score,ts_et,spot,charm_limit_entry,abs_es_price,lis,target,max_plus_gex,max_minus_gex,gap_to_lis,paradigm,vix,overvix,greek_alignment,spot_vol_beta,outcome_result,outcome_pnl,outcome_max_profit,outcome_max_loss,outcome_elapsed_min,outcome_first_event,outcome_target_level,outcome_stop_level,bofa_stop_level,bofa_target_level,abs_vol_ratio,vanna_all,vanna_weekly,vanna_monthly,comments
21,2026-02-04,AG Short,short,A-Entry,65.0,2026-02-04 09:43:21.850243,6932.39,,,6935.0,6916.0,6980.0,6875.0,2.61,AG-PURE,,,-1,,WIN,13.2,88.79,0.0,11,10pt,6916.0,6952.39,,,,,,,
51,2026-02-05,AG Short,short,A-Entry,60.0,2026-02-05 09:38:11.120651,6839.47,,,6850.0,6758.0,6925.0,6800.0,10.53,AG-PURE,,,-1,,WIN,10.0,59.0,-13.73,21,10pt,6758.0,6859.47,,,,,,,
99,2026-02-11,AG Short,short,A,75.0,2026-02-11 10:36:13.959202,6931.43,,,6924.0,6912.0,7000.0,6900.0,0.57,AG-TARGET,,,-1,,LOSS,-20.0,6.77,-26.95,48,stop,6921.43,6951.43,,,,,,,
103,2026-02-12,BofA Scalp,short,A,80.0,2026-02-12 14:24:14.666012,6874.02,,,6875.0,6859.02,,,0.98,BOFA-PURE,,,0,1.16,EXPIRED,13.67,13.67,-2.78,,timeout,6859.02,6887.0,6887.0,6859.02,,-2475280731.86,-92163758.88,-1253012279.86,"Enter at the exact top of the 1 min wick, this is incredible! And have 13 points of profit regardless of the closing."
107,2026-02-13,BofA Scalp,short,A-Entry,60.0,2026-02-13 11:39:19.308968,6860.37,,,6863.0,6850.37,,,2.63,BofA-LIS,,,0,-0.85,EXPIRED,0.29,0.29,-13.23,,timeout,6850.37,6875.0,6875.0,6850.37,,-2158667286.97,-62136220.16,-1031039189.41,
108,2026-02-13,BofA Scalp,short,A-Entry,60.0,2026-02-13 13:23:40.594251,6879.38,,,6879.0,6869.38,,,0.38,BOFA-MESSY,,,0,-1.44,WIN,10.0,11.52,0.0,20,10pt,6869.38,6891.0,6891.0,6869.38,,-2375144574.16,-24098146.62,-956847420.18,
112,2026-02-17,AG Short,short,A+,90.0,2026-02-17 10:04:56.151284,6797.56,,,6799.0,6772.0,6885.0,6770.0,1.44,AG-PURE,,,-1,0.9,WIN,10.0,20.38,-68.34,7,10pt,6772.0,6817.56,,,,-79399587.55,-382677017.99,-230669462.49,"Caught the top and short it, great!"
113,2026-02-17,AG Short,short,A,85.0,2026-02-17 10:16:27.473336,6794.18,,,6795.0,6778.0,6885.0,6770.0,0.82,AG-PURE,,,-1,0.61,LOSS,-5.0,17.0,-71.72,3,stop,6784.18,6814.18,,,,-149643387.64,-404078355.32,-258778766.23,"Bad entry, immediate against me."
114,2026-02-17,AG Short,short,A,75.0,2026-02-17 10:48:02.299901,6794.91,,,6796.0,6773.0,6875.0,6770.0,1.09,AG-PURE,,,-3,1.06,LOSS,-20.0,3.26,-70.99,17,stop,6784.91,6814.91,,,,73949583.56,-399789855.73,-202487373.23,
116,2026-02-17,BofA Scalp,short,A+,100.0,2026-02-17 14:24:34.619625,6863.55,,,6866.0,6853.55,,,2.45,BOFA-PURE,,,2,-0.89,EXPIRED,7.26,7.26,-2.35,,timeout,6853.55,6878.0,6878.0,6853.55,,-989563447.41,-379649934.23,-165336191.32,
118,2026-02-18,DD Exhaustion,short,LOG,0.0,2026-02-18 10:39:14.018737,6896.69,,,,,,,,SIDIAL-MESSY,,,2,-0.83,WIN,16.5,37.99,-11.37,248,target,6876.69,6873.76,,,,-1048245422.41,-118045379.41,-648357581.95,
120,2026-02-18,DD Exhaustion,short,LOG,0.0,2026-02-18 11:26:38.560211,6900.12,,,,,,,,SIDIAL-MESSY,,,2,-0.9,WIN,12.9,41.42,-7.94,177,target,6880.12,6884.31,,,,-1061745672.6,-98391180.25,-587408019.25,
