id,trade_date,setup_name,direction,grade,score,ts_et,spot,charm_limit_entry,abs_es_price,lis,target,max_plus_gex,max_minus_gex,gap_to_lis,paradigm,vix,overvix,greek_alignment,spot_vol_beta,outcome_result,outcome_pnl,outcome_max_profit,outcome_max_loss,outcome_elapsed_min,outcome_first_event,outcome_target_level,outcome_stop_level,bofa_stop_level,bofa_target_level,abs_vol_ratio,vanna_all,vanna_weekly,vanna_monthly,comments
715,2026-03-12,AG Short,short,A,75.0,2026-03-12 09:38:29.174459,6724.73,,,6741.0,6668.0,6800.0,6650.0,16.27,AG-PURE,25.91,,-3,1.28,WIN,15.4,25.83,-1.53,10,target,6703.8999,6744.73,,,,5504386191.09,-99076891.74,1763781828.63,
718,2026-03-12,AG Short,short,A,75.0,2026-03-12 10:04:00.969759,6716.39,,,6736.0,6597.0,6800.0,6650.0,19.61,AG-PURE,25.92,,-3,1.65,WIN,17.1,29.21,-5.72,31,target,6692.1802,6736.39,,,,5496717006.12,-145497165.4,1526176979.73,
719,2026-03-12,AG Short,short,A,75.0,2026-03-12 10:08:31.103250,6716.31,6724.5,,6731.0,6678.0,6800.0,6650.0,14.69,AG-PURE,25.95,,-3,0.91,WIN,16.1,27.18,-7.75,27,target,6692.1802,6734.36,,,,5613441758.77,-103443708.23,1893745160.23,
722,2026-03-12,AG Short,short,A,80.0,2026-03-12 10:27:31.970954,6704.06,,,6716.0,6586.0,6800.0,6650.0,11.94,AG-PURE,26.32,,-3,1.3,WIN,10.9,16.88,3.24,7,target,6692.1802,6724.06,,,,5540993024.26,-126208806.0,1625101083.62,
725,2026-03-12,AG Short,short,A,80.0,2026-03-12 10:57:32.231190,6698.43,6701.0,,6702.0,6669.0,6795.0,6650.0,3.57,AG-LIS,26.4,,-3,1.32,WIN,11.7,18.33,1.89,20,target,6685.1001,6718.43,,,,5507812567.78,-121206983.44,1539676609.82,
728,2026-03-12,AG Short,short,A,80.0,2026-03-12 11:25:31.841691,6689.41,6701.0,,6689.0,6665.0,6760.0,6650.0,1.59,AG-PURE,26.86,,-3,1.9,LOSS,-20.0,3.89,-21.54,21,stop,,6705.13,,,,5443285484.21,-141509765.94,1381308451.73,
736,2026-03-12,AG Short,short,A,80.0,2026-03-12 12:13:59.624372,6695.77,6701.0,,6698.0,6659.0,6780.0,6650.0,2.23,AG-LIS,26.44,,-3,1.35,LOSS,-20.0,3.03,-23.29,9,stop,,6712.72,,,,5514053539.21,-144313782.79,1603632848.78,
744,2026-03-12,BofA Scalp,short,A,85.0,2026-03-12 13:31:34.660130,6701.57,,,6702.0,6691.57,,,0.43,BOFA-PURE,25.79,,-3,0.83,WIN,10.0,10.15,-5.32,14,10pt,6691.57,6714.0,6714.0,6691.57,,7184692246.26,-103781702.27,1602241455.8,
745,2026-03-12,BofA Scalp,short,A,75.0,2026-03-12 13:37:12.147299,6704.6,,,6702.0,6694.6,,,2.6,BOFA-PURE,25.74,,-3,0.83,WIN,10.0,12.39,-2.29,8,10pt,6694.6,6714.0,6714.0,6694.6,,7158546960.64,-110620328.7,1591997240.14,
760,2026-03-13,Skew Charm,short,B,55.0,2026-03-13 09:48:24.018498,6729.5,6738.0,,,6719.5,,,,GEX-LIS,24.82,,-1,-1.93,WIN,6.4,10.88,2.16,6,target,6726.62,6749.5,,,,7547047616.07,-43645753.27,2187721318.7,
