id,trade_date,setup_name,direction,grade,score,ts_et,spot,charm_limit_entry,abs_es_price,lis,target,max_plus_gex,max_minus_gex,gap_to_lis,paradigm,vix,overvix,greek_alignment,spot_vol_beta,outcome_result,outcome_pnl,outcome_max_profit,outcome_max_loss,outcome_elapsed_min,outcome_first_event,outcome_target_level,outcome_stop_level,bofa_stop_level,bofa_target_level,abs_vol_ratio,vanna_all,vanna_weekly,vanna_monthly,comments
324,2026-03-02,DD Exhaustion,short,A-Entry,39.0,2026-03-02 10:04:15.427731,6858.78,,,,,,,,SIDIAL-MESSY,21.48,,0,1.81,LOSS,-1.0,17.15,-12.82,67,stop,,6870.78,,,,894295882.36,13553195.02,1798002600.86,
328,2026-03-02,DD Exhaustion,short,A,66.0,2026-03-02 10:41:45.452555,6854.67,,,,,,,,GEX-PURE,21.7,,0,1.68,LOSS,-12.0,6.64,-13.22,27,stop,,6866.67,,,,1976926636.04,20921058.51,1849473261.38,
335,2026-03-02,DD Exhaustion,short,A-Entry,48.0,2026-03-02 11:26:47.647960,6855.6,,,,,,,,GEX-PURE,21.57,,0,1.44,LOSS,-1.0,10.27,-12.45,13,stop,,6867.6,,,,1871434244.57,68306690.21,1988585741.91,
337,2026-03-02,Skew Charm,short,B,63.0,2026-03-02 11:37:43.776226,6860.68,,,,6850.68,,,,GEX-LIS,21.47,,0,1.82,LOSS,-20.0,0.0,-20.97,8,stop,6850.68,6880.68,,,,1998459959.81,10672221.51,1863213355.22,
339,2026-03-02,Skew Charm,short,A,78.0,2026-03-02 12:07:43.832686,6877.26,,,,6867.26,,,,GEX-PURE,21.01,,0,1.28,LOSS,-20.0,7.76,-20.61,144,stop,6867.26,6897.26,,,,1706013301.92,137641515.34,2051835061.95,
341,2026-03-02,DD Exhaustion,short,A,67.0,2026-03-02 12:10:48.448556,6874.47,,,,,,,,GEX-PURE,21.14,,0,1.22,LOSS,-12.0,0.76,-12.23,10,stop,,6886.47,,,,1705659431.09,134779856.36,2047576754.46,
342,2026-03-02,DD Exhaustion,short,A,74.0,2026-03-02 12:43:14.966490,6883.14,,,,,,,,GEX-PURE,20.93,,0,1.36,LOSS,-1.0,15.52,-12.92,98,stop,,6895.14,,,,1688338196.99,130339626.95,2068372083.32,
343,2026-03-02,Skew Charm,short,A,73.0,2026-03-02 12:45:15.056682,6882.39,,,,6872.39,,,,GEX-PURE,20.95,,0,1.36,WIN,8.7,12.89,-5.84,87,target,6872.39,6877.5,,,,1688338196.99,130339626.95,2068372083.32,
345,2026-03-02,Skew Charm,short,A,73.0,2026-03-02 13:15:44.785499,6884.73,,,,6874.73,,,,GEX-PURE,20.85,,0,1.21,WIN,9.3,15.23,0.0,56,target,6874.73,6877.5,,,,1708906869.63,205920365.25,2189101226.44,
347,2026-03-02,DD Exhaustion,short,A,67.0,2026-03-02 13:29:44.461040,6882.74,,,,,,,,GEX-PURE,21.05,,0,1.38,LOSS,-1.0,15.12,-13.32,52,stop,,6894.74,,,,1705460503.94,165387976.88,2131482695.32,
351,2026-03-02,DD Exhaustion,short,A+,87.0,2026-03-02 14:13:15.797207,6883.14,,,,,,,,GEX-LIS,20.94,,0,1.33,LOSS,-12.0,0.16,-12.92,8,stop,,6895.14,,,,1697093350.25,115400236.81,2088434499.99,
