date,time,dir,delta,body,peak,trough,vol,vps,dz,score,grade,trend_ok,gap,outcome,pnl,mfe,mae
2026-03-02,10:03:23,BEAR,116,3.75,386,0,1908,123.3,0.55,55,B,True,10,LOSS,-8.0,0.25,-9.25
2026-03-02,10:16:37,BEAR,285,2.75,393,-13,5603,68.9,0.63,45,C,True,8,WIN,5.75,13.75,-1.75
2026-03-02,10:18:39,BULL,-179,3.0,20,-553,8455,91.2,1.03,60,B,True,10,LOSS,-8.0,0.0,-9.5
2026-03-02,10:29:17,BULL,-306,3.0,0,-384,3272,62.8,0.35,40,C,True,8,LOSS,-4.75,3.25,-5.25
2026-03-02,10:36:21,BULL,-164,3.25,16,-302,2364,49.8,0.44,40,C,True,8,WIN,11.25,19.25,-1.5
2026-03-02,10:47:55,BEAR,202,4.5,427,-121,4510,76.7,0.02,60,B,True,10,LOSS,-2.5,7.5,-6.25
2026-03-02,11:19:49,BULL,-242,1.75,70,-294,5756,25.9,0.43,35,C,True,8,LOSS,-7.75,0.25,-8.75
2026-03-02,12:01:31,BULL,-248,2.75,23,-480,5204,32.7,0.28,40,C,True,8,LOSS,-5.25,2.75,-6.5
2026-03-02,12:51:19,BEAR,299,2.5,587,0,7741,24.4,0.15,45,C,True,8,WIN,8.75,16.75,-6.0
2026-03-03,09:35:38,BULL,-349,3.25,72,-520,1725,241.5,1.61,65,A,True,12,WIN,10.0,22.0,-1.5
2026-03-03,09:36:41,BEAR,184,1.5,306,-24,3088,167.5,0.11,30,LOG,True,8,LOSS,-5.25,2.75,-7.0
2026-03-03,09:38:56,BEAR,126,2.0,428,-36,3682,155.1,0.53,40,C,True,8,WIN,29.0,37.0,-1.25
2026-03-03,09:40:25,BULL,-162,2.75,58,-246,3794,115.5,0.19,40,C,True,8,LOSS,-7.5,0.5,-12.25
2026-03-03,09:46:24,BEAR,293,2.0,379,-4,3183,165.7,0.14,40,C,True,8,WIN,13.0,21.0,-3.75
2026-03-03,09:47:35,BULL,-183,2.0,0,-209,2393,114.0,0.31,35,C,True,8,LOSS,-8.0,0.0,-12.75
2026-03-03,09:51:15,BEAR,192,0.75,192,-84,1872,95.0,0.31,25,LOG,True,8,WIN,2.75,10.75,-2.5
2026-03-03,09:55:18,BULL,-206,2.0,13,-363,3386,94.3,0.26,40,C,True,8,LOSS,-7.0,1.0,-7.0
2026-03-03,10:00:22,BEAR,675,0.25,725,0,4603,190.0,2.26,65,A,True,12,WIN,6.5,18.5,-0.75
2026-03-03,10:04:43,BEAR,146,3.5,202,-5,3296,81.0,0.5,40,C,True,8,LOSS,-5.0,3.0,-6.25
2026-03-03,10:05:24,BULL,-471,2.0,6,-691,2761,146.1,1.23,55,B,True,10,WIN,1.5,11.5,-0.75
2026-03-03,10:08:03,BULL,-181,2.0,38,-321,4555,71.7,0.07,40,C,True,8,LOSS,-2.75,5.25,-5.75
2026-03-03,10:11:18,BEAR,303,1.0,334,0,2579,98.7,0.77,40,C,True,8,LOSS,-6.0,2.0,-8.0
2026-03-03,10:14:22,BULL,-129,0.25,5,-170,1825,75.4,0.06,25,LOG,True,8,LOSS,-6.0,2.0,-8.5
2026-03-03,10:16:39,BULL,-105,1.0,211,-164,6307,97.0,0.31,30,LOG,True,8,LOSS,-6.5,1.5,-7.0
2026-03-03,10:26:22,BULL,-776,3.0,0,-820,9634,107.5,2.44,80,A+,True,12,WIN,11.75,23.75,-5.0
2026-03-03,10:45:29,BEAR,378,3.75,409,-25,2294,97.4,2.14,70,A,True,12,LOSS,-8.0,1.5,-8.25
2026-03-03,10:49:08,BULL,-177,2.25,0,-283,2103,126.8,0.62,50,B,True,10,LOSS,-8.0,1.75,-8.5
2026-03-03,10:52:09,BEAR,131,3.5,223,0,2443,86.8,0.42,45,C,True,8,LOSS,-0.75,7.25,-3.0
2026-03-03,11:36:14,BEAR,141,2.75,450,0,4527,65.9,0.36,45,C,True,8,WIN,0.5,8.5,-3.0
2026-03-03,11:46:45,BEAR,424,2.0,602,-54,6510,153.5,1.43,55,B,True,10,LOSS,-0.25,9.75,-1.5
2026-03-03,11:49:16,BULL,-215,2.0,8,-261,1733,88.5,0.14,35,C,True,8,WIN,0.25,8.25,-3.75
2026-03-03,11:51:15,BEAR,229,5.0,307,-39,2097,53.9,0.04,40,C,True,8,LOSS,-7.75,0.25,-7.75
2026-03-03,11:56:01,BEAR,182,1.0,246,0,2964,58.2,0.41,25,LOG,True,8,WIN,6.75,14.75,-0.5
2026-03-03,12:01:32,BULL,-121,3.0,21,-248,4995,64.5,0.44,40,C,True,8,LOSS,-3.25,4.75,-5.5
2026-03-03,12:12:46,BULL,-100,2.0,48,-128,3714,32.7,0.38,25,LOG,True,8,LOSS,-0.75,7.25,-4.25
2026-03-03,12:18:46,BEAR,245,1.5,430,0,4119,41.8,0.54,45,C,True,8,LOSS,-4.25,3.75,-4.25
2026-03-03,12:34:27,BULL,-780,1.5,0,-898,9332,72.7,3.18,80,A+,True,12,WIN,7.0,19.0,-0.5
2026-03-03,12:49:04,BEAR,398,2.25,586,-10,7580,36.0,0.78,45,C,True,8,WIN,3.0,11.0,-2.5
2026-03-03,13:01:57,BEAR,414,3.0,569,0,4432,67.3,0.81,55,B,True,10,LOSS,-3.25,6.75,-6.25
2026-03-03,13:16:05,BULL,-128,2.5,73,-468,4008,38.9,0.86,40,C,True,8,WIN,23.25,31.25,-3.75
2026-03-03,13:42:43,BEAR,105,2.0,381,-44,3617,75.8,0.55,45,C,True,8,LOSS,-0.5,7.5,-4.25
2026-03-03,13:50:59,BEAR,397,3.0,529,-19,8259,46.8,0.12,40,C,True,8,WIN,9.75,17.75,-3.0
2026-03-03,14:02:27,BULL,-114,3.0,36,-236,2682,45.3,0.73,40,C,True,8,LOSS,-6.0,2.0,-6.5
2026-03-03,14:20:04,BEAR,417,1.0,645,0,5399,40.0,0.56,45,C,True,8,WIN,9.5,17.5,-5.25
2026-03-03,14:42:48,BEAR,351,3.0,631,-11,2413,129.9,0.6,50,B,True,10,LOSS,-6.5,3.5,-7.25
2026-03-04,09:31:33,BULL,-207,1.0,5,-207,3257,133.1,0.36,25,LOG,True,8,WIN,0.5,8.5,-1.75
2026-03-04,09:39:29,BEAR,117,3.0,140,-5,783,52.2,0.47,25,LOG,True,8,WIN,6.75,14.75,-1.75
2026-03-04,09:42:09,BEAR,402,0.75,409,-13,4528,52.1,1.86,45,C,True,8,WIN,2.75,10.75,0.0
2026-03-04,09:50:10,BULL,-337,3.25,0,-412,3295,57.2,1.28,55,B,True,10,LOSS,0.0,10.0,-3.25
2026-03-04,09:53:06,BEAR,316,3.0,403,-36,3422,44.9,0.9,45,C,True,8,LOSS,-3.0,5.0,-4.5
2026-03-04,10:00:35,BEAR,429,1.75,550,0,6603,69.2,1.66,60,B,True,10,WIN,1.5,11.5,-4.75
2026-03-04,10:13:02,BEAR,520,2.0,817,0,5774,72.7,1.74,70,A,True,12,LOSS,-7.5,4.5,-10.75
2026-03-04,10:27:07,BEAR,172,2.5,643,-503,19498,85.7,0.75,55,B,True,10,WIN,10.0,20.0,-3.5
2026-03-04,10:50:34,BEAR,131,3.0,411,-36,5511,56.7,0.95,50,B,True,10,LOSS,-4.5,5.5,-6.75
2026-03-04,11:22:31,BULL,-164,1.75,46,-491,8724,53.8,0.76,40,C,True,8,WIN,4.0,12.0,-0.25
2026-03-04,11:33:03,BEAR,687,2.5,1046,0,7739,52.0,0.99,55,B,True,10,LOSS,-4.75,5.25,-6.25
2026-03-04,11:57:02,BULL,-104,2.0,79,-318,7646,29.5,0.69,40,C,True,8,LOSS,-4.5,3.5,-6.25
2026-03-04,13:20:03,BULL,-215,3.75,93,-294,5829,24.6,0.64,45,C,True,8,WIN,7.5,12.5,-3.25
2026-03-04,13:49:50,BEAR,264,4.0,706,-17,8566,22.0,0.58,55,B,True,10,LOSS,-2.25,2.0,-7.25
2026-03-05,09:39:20,BULL,-360,0.25,0,-533,3978,119.1,0.5,35,C,True,8,LOSS,-6.25,1.75,-7.5
2026-03-05,09:42:11,BEAR,131,2.25,257,-5,2501,86.1,0.61,35,C,True,8,WIN,3.0,11.0,-1.5
2026-03-05,09:47:47,BEAR,213,2.5,364,-1,3365,94.1,0.09,40,C,True,8,LOSS,-3.0,5.0,-7.0
2026-03-05,09:49:47,BULL,-110,2.75,26,-205,2834,71.5,0.65,35,C,True,8,LOSS,0.0,8.0,-1.0
2026-03-05,10:13:39,BEAR,536,0.75,696,-11,5862,55.9,1.0,50,B,True,10,WIN,36.5,46.5,-3.0
2026-03-05,10:36:06,BEAR,268,1.5,508,-23,4018,91.3,0.09,40,C,True,8,LOSS,-7.0,1.0,-10.25
2026-03-05,10:40:01,BEAR,148,0.75,633,0,5380,92.3,0.69,40,C,True,8,LOSS,-3.5,4.5,-4.25
2026-03-05,10:45:04,BEAR,490,1.75,558,0,2596,68.9,1.11,55,B,True,10,LOSS,-8.0,0.75,-8.75
2026-03-05,10:52:19,BEAR,139,0.75,139,-216,3573,41.2,0.93,30,LOG,True,8,WIN,3.75,11.75,-1.5
2026-03-05,11:00:00,BEAR,155,3.0,465,-19,5457,69.8,0.57,55,B,True,10,WIN,18.0,28.0,-1.25
2026-03-05,11:14:28,BULL,-212,2.5,2,-458,3964,77.0,0.46,50,B,True,10,LOSS,-8.0,0.5,-11.75
2026-03-05,11:19:57,BULL,-102,2.5,22,-296,1944,294.0,0.97,55,B,True,10,WIN,2.25,12.25,-3.75
2026-03-05,11:24:45,BEAR,101,4.0,224,-48,1495,80.4,0.89,50,B,True,10,LOSS,-8.0,0.5,-9.5
2026-03-05,11:46:11,BEAR,173,3.5,259,0,1593,48.4,0.48,40,C,True,8,LOSS,-3.25,4.75,-5.25
2026-03-05,11:56:05,BEAR,154,4.0,257,-94,8696,36.1,0.22,40,C,True,8,LOSS,-8.0,0.0,-8.75
2026-03-05,12:13:55,BULL,-375,0.75,41,-379,3875,54.1,0.64,30,LOG,True,8,LOSS,-6.75,1.25,-7.75
2026-03-05,12:26:37,BULL,-282,2.25,0,-555,1672,189.6,0.07,45,C,True,8,LOSS,-2.75,5.25,-4.0
2026-03-05,12:37:54,BEAR,477,0.5,835,0,5783,143.8,0.95,45,C,True,8,WIN,12.5,20.5,-3.0
2026-03-05,12:43:54,BULL,-229,1.0,31,-365,2105,98.3,0.37,30,LOG,True,8,LOSS,-7.25,0.75,-10.0
2026-03-05,12:56:57,BULL,-256,3.25,229,-517,12710,60.0,0.1,50,B,True,10,WIN,4.5,14.5,-4.25
2026-03-05,13:01:43,BEAR,274,4.0,387,-107,4764,65.7,0.33,40,C,True,8,LOSS,-7.75,0.25,-8.0
2026-03-05,14:00:59,BEAR,171,2.5,338,-19,9175,45.7,0.22,45,C,True,8,LOSS,-7.0,1.0,-7.25
2026-03-05,14:13:07,BEAR,246,1.0,480,0,4950,32.3,0.21,30,LOG,True,8,LOSS,-4.5,3.5,-4.75
2026-03-06,09:32:00,BULL,-440,2.0,0,-683,8226,214.9,1.7,65,A,True,12,LOSS,-6.25,5.75,-8.5
2026-03-06,09:33:17,BEAR,163,0.75,163,-93,1905,158.3,0.86,30,LOG,True,8,WIN,18.0,26.0,-1.0
2026-03-06,09:38:20,BEAR,131,2.25,133,-16,1583,160.3,0.37,25,LOG,True,8,LOSS,-7.25,0.75,-7.75
2026-03-06,09:39:24,BEAR,187,0.25,219,-30,2723,91.2,0.21,25,LOG,True,8,LOSS,-5.75,2.25,-5.75
2026-03-06,09:42:27,BEAR,127,2.75,179,-1,2363,110.8,0.13,25,LOG,True,8,LOSS,-8.0,0.0,-9.0
2026-03-06,10:02:17,BEAR,125,2.75,185,0,1499,113.2,0.21,25,LOG,True,8,LOSS,-1.5,6.5,-3.25
2026-03-06,10:27:42,BULL,-140,3.0,13,-314,2234,76.0,0.03,50,B,True,10,WIN,9.0,19.0,-5.25
2026-03-06,10:28:11,BEAR,179,4.75,281,-49,3573,62.7,0.35,45,C,True,8,LOSS,-7.5,0.5,-8.75
2026-03-06,10:31:12,BEAR,506,1.5,769,0,4740,92.2,2.26,75,A,True,12,LOSS,-8.0,1.5,-8.0
2026-03-06,10:39:10,BEAR,138,2.5,285,-44,4636,70.3,0.47,35,C,True,8,WIN,19.5,27.5,-0.5
2026-03-06,11:00:47,BEAR,379,1.0,537,0,4105,50.3,1.15,50,B,True,10,LOSS,-8.0,0.5,-9.25
2026-03-06,11:14:06,BULL,-106,3.5,32,-227,4780,41.7,0.63,40,C,True,8,LOSS,-1.75,6.25,-3.5
2026-03-06,11:25:51,BULL,-106,2.0,81,-197,3116,40.4,0.43,30,LOG,True,8,LOSS,-5.5,2.5,-6.0
2026-03-06,11:40:45,BEAR,164,3.25,239,-31,2038,35.1,0.13,35,C,True,8,LOSS,-4.25,3.75,-5.75
2026-03-06,11:45:52,BEAR,362,1.25,478,0,5610,51.9,1.47,55,B,True,10,LOSS,-7.0,3.0,-8.25
2026-03-06,11:57:43,BEAR,143,0.75,310,-1,1897,76.1,0.46,40,C,True,8,LOSS,-3.5,4.5,-5.5
2026-03-06,12:05:11,BULL,-132,3.0,16,-183,1664,71.9,0.26,40,C,True,8,LOSS,-7.75,0.25,-9.75
2026-03-06,12:42:19,BULL,-173,2.5,25,-344,5781,50.2,0.35,45,C,True,8,WIN,6.5,14.5,-0.25
2026-03-06,13:37:17,BULL,-169,4.25,32,-213,2735,42.0,0.19,35,C,True,8,LOSS,-4.0,4.0,-6.75
2026-03-06,13:54:12,BULL,-228,1.75,40,-351,3530,32.8,0.73,45,C,True,8,WIN,4.5,12.5,-4.0
2026-03-06,14:07:13,BEAR,195,3.0,313,0,2449,35.9,0.26,45,C,True,8,LOSS,-7.25,0.75,-7.5
2026-03-06,14:19:02,BEAR,104,2.0,251,-39,3654,25.4,0.3,35,C,True,8,LOSS,-2.25,5.75,-3.5
2026-03-06,14:30:26,BEAR,125,3.0,208,0,3623,30.6,0.24,40,C,True,8,LOSS,-1.25,6.75,-4.75
2026-03-06,14:49:18,BULL,-270,0.75,16,-410,5926,27.7,0.86,35,C,True,8,WIN,5.0,5.0,-1.0
2026-03-09,09:40:52,BULL,-157,2.5,0,-370,1513,151.8,0.11,60,B,True,10,LOSS,-8.0,0.0,-8.75
2026-03-09,09:45:43,BULL,-296,2.75,0,-395,2732,140.8,0.68,55,B,True,10,WIN,0.75,10.75,-0.5
2026-03-09,09:46:13,BEAR,192,4.75,290,-57,4212,88.0,0.13,45,C,True,8,LOSS,-6.5,1.5,-7.5
2026-03-09,09:51:47,BEAR,207,0.75,234,-76,3923,83.6,0.24,25,LOG,True,8,WIN,2.75,10.75,-4.75
2026-03-09,09:53:53,BULL,-448,2.5,0,-594,3110,153.6,1.98,60,B,True,10,WIN,7.5,17.5,-5.0
2026-03-09,09:55:32,BEAR,310,1.0,313,-64,2814,98.6,0.91,30,LOG,True,8,LOSS,-2.5,5.5,-4.0
2026-03-09,10:02:16,BEAR,162,1.0,165,-27,2014,49.0,0.25,25,LOG,True,8,LOSS,-7.0,1.0,-8.5
2026-03-09,10:04:19,BEAR,476,3.0,583,-26,3874,74.2,2.45,65,A,True,12,WIN,19.0,31.0,-1.75
2026-03-09,10:16:45,BEAR,710,2.25,815,0,1648,205.8,1.66,80,A+,True,12,LOSS,-7.25,4.75,-11.75
2026-03-09,10:23:20,BEAR,243,2.5,385,-81,2831,114.0,0.51,45,C,True,8,WIN,8.0,16.0,-3.5
2026-03-09,10:36:38,BEAR,180,3.0,267,-21,2360,75.9,0.01,35,C,True,8,LOSS,-5.5,2.5,-6.5
2026-03-09,10:40:30,BULL,-156,2.25,0,-225,1872,65.5,0.07,40,C,True,8,LOSS,-3.5,4.5,-4.0
2026-03-09,10:42:39,BEAR,167,1.0,495,-39,5263,55.6,0.14,35,C,True,8,LOSS,-7.5,0.5,-9.25
2026-03-09,10:58:40,BEAR,384,3.5,585,0,2014,92.6,0.44,50,B,True,10,LOSS,-5.5,4.5,-8.0
2026-03-09,11:03:46,BEAR,1103,2.0,1198,0,4505,150.0,2.53,85,A+,True,12,LOSS,-8.0,3.75,-8.0
2026-03-09,11:30:08,BEAR,106,1.75,310,-154,6332,51.5,0.6,40,C,True,8,WIN,1.0,9.0,-2.0
2026-03-09,11:35:30,BULL,-301,4.5,0,-453,7623,44.1,0.17,45,C,True,8,WIN,5.25,13.25,-6.25
2026-03-09,11:48:06,BULL,-191,4.75,27,-346,6617,33.1,0.24,45,C,True,8,WIN,2.25,10.25,-2.0
2026-03-09,11:53:51,BEAR,1865,1.75,2142,-41,14371,46.4,3.42,75,A,True,12,LOSS,-8.0,2.5,-9.0
2026-03-09,13:40:16,BULL,-635,4.0,237,-740,5189,42.1,1.0,70,A,True,12,WIN,10.25,22.25,-5.75
2026-03-09,14:05:36,BEAR,344,1.25,598,0,6136,41.9,0.17,45,C,True,8,LOSS,-4.5,3.5,-5.0
2026-03-09,14:21:21,BEAR,153,2.5,252,0,1693,142.1,0.53,60,B,True,10,LOSS,-2.25,7.75,-2.5
2026-03-09,14:34:47,BEAR,674,1.75,1137,-74,11998,70.5,1.99,70,A,True,12,WIN,3.75,8.75,-4.25
2026-03-10,09:31:44,BEAR,360,1.5,455,-23,6016,117.3,0.87,40,C,True,8,WIN,3.75,11.75,-3.5
2026-03-10,09:41:46,BULL,-131,3.25,0,-195,1615,262.4,0.19,45,C,True,8,LOSS,-7.25,0.75,-7.25
2026-03-10,09:44:32,BEAR,146,3.5,152,-46,4600,95.9,0.22,35,C,True,8,LOSS,-4.0,4.0,-4.0
2026-03-10,09:58:46,BULL,-160,3.5,7,-265,2200,37.6,0.64,45,C,True,8,LOSS,-7.5,0.5,-7.75
2026-03-10,10:15:22,BULL,-155,1.0,4,-276,3237,63.4,0.45,30,LOG,True,8,WIN,20.25,28.25,-1.25
2026-03-10,10:28:30,BEAR,116,3.0,354,0,2210,62.3,0.98,45,C,True,8,LOSS,-5.0,3.0,-6.5
2026-03-10,11:10:16,BULL,-138,0.75,333,-141,9926,50.0,0.92,30,LOG,True,8,WIN,5.0,13.0,-0.75
2026-03-10,11:21:23,BEAR,151,2.0,405,-34,11415,40.2,1.09,50,B,True,10,LOSS,-6.25,3.75,-9.0
2026-03-10,11:50:22,BEAR,123,4.0,357,-15,3437,37.1,0.91,50,B,True,10,WIN,3.75,13.75,-2.5
2026-03-10,12:25:55,BEAR,787,0.25,961,0,8521,51.4,1.67,60,B,True,10,LOSS,-4.75,5.25,-7.5
2026-03-10,12:46:12,BULL,-288,3.5,64,-507,6274,34.6,0.08,45,C,True,8,WIN,4.75,12.75,-3.75
2026-03-10,14:14:19,BULL,-368,1.0,38,-368,1516,99.7,0.39,30,LOG,True,8,LOSS,-6.25,1.75,-10.0
2026-03-10,14:30:27,BULL,-138,1.0,3,-213,1126,62.1,0.76,45,C,True,8,WIN,0.25,8.25,-1.5
2026-03-10,14:31:26,BEAR,138,3.75,173,-14,960,27.3,0.86,40,C,True,8,WIN,6.0,14.0,-4.5
2026-03-10,14:50:40,BEAR,103,0.5,155,-11,2441,56.6,0.03,30,LOG,True,8,WIN,4.5,10.25,-3.25
2026-03-11,09:32:02,BEAR,452,1.25,647,0,8770,84.2,2.01,65,A,True,12,WIN,5.5,17.5,-6.5
