date,time,dir,delta,body,peak,trough,vol,vps,dz,tier,gap,outcome,pnl,mfe,mae
2026-03-02,12:51:19,BEAR,299,2.5,587,0,7741,24.4,0.15,3,8,WIN,8.75,16.75,-6.0
2026-03-03,09:51:15,BEAR,192,0.75,192,-84,1872,95.0,0.31,1,12,WIN,6.0,18.0,-2.5
2026-03-03,10:00:22,BEAR,675,0.25,725,0,4603,190.0,2.26,1,12,WIN,6.5,18.5,-0.75
2026-03-03,10:14:22,BULL,-129,0.25,5,-170,1825,75.4,0.06,1,12,LOSS,-8.0,2.0,-8.5
2026-03-03,12:34:27,BULL,-780,1.5,0,-898,9332,72.7,3.18,3,8,WIN,11.0,19.0,-0.5
2026-03-03,12:49:04,BEAR,398,2.25,586,-10,7580,36.0,0.78,3,8,WIN,3.0,11.0,-2.5
2026-03-03,13:01:57,BEAR,414,3.0,569,0,4432,67.3,0.81,3,8,LOSS,-6.0,2.0,-6.25
2026-03-03,13:50:59,BEAR,397,3.0,529,-19,8259,46.8,0.12,3,8,WIN,9.75,17.75,-3.0
2026-03-03,14:20:04,BEAR,417,1.0,645,0,5399,40.0,0.56,3,8,WIN,9.5,17.5,-5.25
2026-03-03,14:42:48,BEAR,351,3.0,631,-11,2413,129.9,0.6,3,8,LOSS,-4.5,3.5,-7.25
2026-03-04,09:33:17,BULL,-281,0.75,60,-317,4253,92.0,1.22,1,12,LOSS,-8.0,1.25,-9.0
2026-03-04,09:42:09,BEAR,402,0.75,409,-13,4528,52.1,1.86,1,12,LOSS,-1.25,10.75,-2.75
2026-03-04,09:54:22,BEAR,460,1.25,511,-39,3576,59.1,1.67,2,10,LOSS,-6.25,3.75,-10.25
2026-03-04,10:00:35,BEAR,429,1.75,550,0,6603,69.2,1.66,2,10,WIN,1.5,11.5,-4.75
2026-03-04,10:13:02,BEAR,520,2.0,817,0,5774,72.7,1.74,2,10,LOSS,-5.5,4.5,-6.75
2026-03-04,12:08:22,BULL,-838,0.5,10,-838,9960,23.8,2.07,1,12,LOSS,-8.0,3.25,-9.25
2026-03-04,13:20:03,BULL,-215,3.75,93,-294,5829,24.6,0.64,3,8,WIN,7.5,12.5,-3.25
2026-03-04,13:49:50,BEAR,264,4.0,706,-17,8566,22.0,0.58,3,8,LOSS,-6.0,2.0,-6.0
