date,time,dir,delta,body,tier,peak_ratio,outcome,pnl,mfe,mae
2026-03-02,12:51:19,BEAR,299,2.5,3,1.96,WIN,8.75,16.75,-6.0
2026-03-03,09:51:15,BEAR,192,0.75,1,1.0,WIN,2.75,10.75,-2.5
2026-03-03,10:00:22,BEAR,675,0.25,1,1.07,WIN,10.5,18.5,-0.75
2026-03-03,10:14:22,BULL,-129,0.25,1,1.32,LOSS,-6.0,2.0,-8.5
2026-03-03,12:34:27,BULL,-780,1.5,3,1.15,WIN,11.0,19.0,-0.5
2026-03-03,12:49:04,BEAR,398,2.25,3,1.47,WIN,3.0,11.0,-2.5
2026-03-03,13:01:57,BEAR,414,3.0,3,1.37,LOSS,-6.0,2.0,-6.25
2026-03-03,13:50:59,BEAR,397,3.0,3,1.33,WIN,9.75,17.75,-3.0
2026-03-03,14:42:48,BEAR,351,3.0,3,1.8,LOSS,-4.5,3.5,-7.25
2026-03-04,09:33:17,BULL,-281,0.75,1,1.13,LOSS,-6.75,1.25,-9.0
2026-03-04,09:42:09,BEAR,402,0.75,1,1.02,WIN,2.75,10.75,0.0
2026-03-04,12:08:22,BULL,-838,0.5,1,1.0,LOSS,-4.75,3.25,-6.0
2026-03-04,13:20:03,BULL,-215,3.75,3,1.37,WIN,7.5,12.5,-3.25
2026-03-04,14:40:02,BEAR,137,0.5,1,1.28,WIN,3.75,3.75,-1.25
2026-03-05,09:39:20,BULL,-360,0.25,1,1.48,LOSS,-6.25,1.75,-7.5
2026-03-05,10:13:39,BEAR,536,0.75,1,1.3,WIN,38.5,46.5,-3.0
2026-03-05,10:52:19,BEAR,139,0.75,1,1.0,WIN,3.75,11.75,-1.5
2026-03-05,12:13:55,BULL,-375,0.75,1,1.01,LOSS,-6.75,1.25,-7.75
2026-03-05,12:37:54,BEAR,477,0.5,1,1.75,WIN,12.5,20.5,-3.0
2026-03-05,12:43:54,BULL,-229,1.0,3,1.59,LOSS,-7.25,0.75,-10.0
2026-03-05,12:56:57,BULL,-256,3.25,3,2.02,WIN,6.5,14.5,-4.25
2026-03-05,13:01:43,BEAR,274,4.0,3,1.41,LOSS,-7.75,0.25,-8.0
2026-03-05,13:30:29,BEAR,237,2.5,3,1.17,LOSS,-0.75,7.25,-1.5
2026-03-06,09:33:17,BEAR,163,0.75,1,1.0,WIN,18.0,26.0,-1.0
2026-03-06,09:39:24,BEAR,187,0.25,1,1.17,LOSS,-5.75,2.25,-5.75
2026-03-06,10:30:34,BEAR,161,0.75,1,1.02,LOSS,-5.0,3.0,-6.5
2026-03-06,11:57:43,BEAR,143,0.75,1,2.17,LOSS,-3.5,4.5,-5.5
2026-03-06,13:54:12,BULL,-228,1.75,3,1.54,WIN,4.5,12.5,-4.0
2026-03-06,14:49:18,BULL,-270,0.75,1,1.52,WIN,5.0,5.0,-1.0
2026-03-09,09:51:47,BEAR,207,0.75,1,1.13,WIN,2.75,10.75,-4.75
2026-03-09,13:40:16,BULL,-635,4.0,3,1.17,WIN,3.5,11.5,-5.75
2026-03-09,14:34:47,BEAR,674,1.75,3,1.69,WIN,3.75,8.75,-4.25
2026-03-10,11:10:16,BULL,-138,0.75,1,1.02,WIN,5.0,13.0,-0.75
2026-03-10,12:25:55,BEAR,787,0.25,1,1.22,LOSS,-2.75,5.25,-3.25
2026-03-10,12:46:12,BULL,-288,3.5,3,1.76,WIN,4.75,12.75,-3.75
2026-03-10,14:50:40,BEAR,103,0.5,1,1.5,WIN,4.5,10.25,-3.25
2026-03-11,10:09:23,BULL,-207,0.25,1,1.0,LOSS,-6.5,1.5,-7.0
2026-03-11,10:58:31,BEAR,231,0.75,1,1.07,WIN,7.0,15.0,-2.5
2026-03-11,11:15:45,BULL,-277,0.75,1,1.0,WIN,6.0,14.0,-2.75
2026-03-11,13:11:49,BEAR,249,1.25,3,1.56,LOSS,-5.0,3.0,-7.0
2026-03-11,14:54:16,BEAR,293,1.5,3,1.66,WIN,3.0,3.0,-2.0
2026-03-12,10:46:25,BEAR,365,0.5,1,1.2,WIN,12.0,20.0,-3.25
2026-03-12,10:55:51,BEAR,262,0.75,1,1.94,WIN,6.75,14.75,-4.5
2026-03-12,11:18:41,BULL,-175,0.75,1,1.0,WIN,8.0,16.0,-1.0
2026-03-12,12:38:53,BEAR,349,1.75,3,1.77,WIN,9.5,17.5,-3.75
2026-03-12,12:55:02,BEAR,1013,2.5,3,1.28,LOSS,-6.5,1.5,-6.75
2026-03-12,13:28:01,BULL,-666,0.75,1,1.24,WIN,1.0,9.0,-1.75
2026-03-12,13:46:00,BULL,-428,4.0,3,1.2,LOSS,-4.25,3.75,-4.75
2026-03-12,14:41:07,BULL,-1464,0.75,1,1.0,LOSS,-0.75,7.25,-1.0
2026-03-13,10:20:56,BULL,-192,0.5,1,1.0,LOSS,-0.75,7.25,-0.75
2026-03-13,11:55:44,BULL,-439,0.75,1,1.0,WIN,1.25,9.25,-3.0
2026-03-13,12:36:35,BEAR,468,3.25,3,1.45,WIN,7.0,15.0,-0.75
2026-03-13,13:36:49,BEAR,294,0.5,1,1.0,WIN,13.75,21.75,-0.5
2026-03-13,14:51:07,BEAR,224,3.5,3,1.83,WIN,5.0,5.0,-3.25
2026-03-16,09:52:44,BULL,-133,0.75,1,1.02,WIN,6.5,14.5,-1.0
2026-03-16,14:53:15,BULL,-230,2.0,3,1.52,LOSS,0.0,0.0,0.0
2026-03-18,11:06:55,BEAR,1950,0.75,1,1.08,WIN,3.75,11.75,-2.0
2026-03-18,12:39:28,BULL,-348,0.5,1,1.59,LOSS,-4.25,3.75,-6.25
2026-03-18,13:17:32,BEAR,678,2.75,3,1.09,LOSS,-4.25,3.75,-5.25
2026-03-18,13:46:07,BEAR,763,1.5,3,1.24,LOSS,-5.75,2.25,-6.5
2026-03-19,11:23:10,BULL,-545,0.75,1,1.0,LOSS,-2.0,6.0,-5.0
2026-03-19,12:35:22,BULL,-243,2.25,3,2.38,WIN,1.75,9.75,-0.25
2026-03-19,12:42:12,BEAR,381,3.5,3,1.51,WIN,18.75,26.75,-1.25
2026-03-19,14:41:33,BULL,-1018,2.5,3,1.37,WIN,20.25,20.75,-4.75
2026-03-20,13:36:33,BULL,-391,3.0,3,1.53,LOSS,-2.25,5.75,-3.5
2026-03-20,13:54:29,BEAR,343,3.0,3,1.78,WIN,17.5,25.5,-5.0
2026-03-23,12:45:44,BEAR,933,5.25,3,1.38,WIN,1.25,9.25,-4.0
2026-03-23,12:14:21,BULL,-131,0.5,1,1.11,LOSS,-7.75,0.25,-9.0
2026-03-23,13:35:10,BEAR,282,0.75,1,1.18,WIN,7.75,15.75,-2.75
2026-03-23,13:43:34,BULL,-392,1.0,3,1.34,WIN,6.5,14.5,-4.5
2026-03-23,14:12:30,BEAR,170,0.75,1,2.19,LOSS,-3.25,4.75,-6.25
2026-03-23,14:48:04,BEAR,252,3.5,3,1.7,WIN,1.25,1.5,-3.75
2026-03-24,12:38:02,BULL,-824,6.75,3,1.24,LOSS,-0.25,7.75,-6.0
2026-03-24,14:38:57,BEAR,1206,2.5,3,1.35,WIN,0.5,9.0,-1.5
2026-03-24,09:31:56,BEAR,430,0.25,1,1.0,LOSS,-5.0,3.0,-6.25
2026-03-24,11:01:13,BEAR,132,0.25,1,1.0,WIN,0.75,8.75,-1.25
2026-03-24,11:29:54,BEAR,539,0.5,1,1.4,LOSS,-3.75,4.25,-6.0
2026-03-24,12:39:20,BULL,-332,4.0,3,1.37,WIN,4.75,12.75,-1.25
2026-03-24,14:39:36,BEAR,311,1.5,3,1.75,WIN,6.0,14.0,-1.25
2026-03-24,14:42:33,BULL,-657,1.25,3,1.47,LOSS,-4.25,3.75,-6.5
2026-03-24,14:53:15,BEAR,258,2.5,3,1.75,WIN,0.5,8.5,-0.5
2026-03-24,14:56:06,BULL,-231,1.0,3,2.06,WIN,3.25,3.25,-1.75
2026-03-25,09:56:34,BEAR,481,0.75,1,1.0,WIN,9.5,17.5,-1.75
2026-03-25,12:08:07,BULL,-165,0.5,1,1.11,WIN,10.0,18.0,-2.0
2026-03-25,13:26:11,BEAR,623,1.5,3,1.38,LOSS,-5.25,2.75,-6.5
2026-03-26,10:06:50,BEAR,471,0.75,1,1.33,WIN,1.5,9.5,-2.5
2026-03-26,13:00:36,BEAR,392,2.0,3,1.39,WIN,8.5,16.5,-1.5
2026-03-26,14:47:15,BEAR,2049,1.75,3,1.11,LOSS,-0.0,0.0,0.0
2026-03-27,09:45:23,BEAR,1986,0.5,1,1.32,WIN,21.5,29.5,-0.5
2026-03-27,13:07:20,BEAR,426,4.0,3,1.12,WIN,27.5,35.5,-3.75
2026-03-27,14:43:29,BEAR,529,1.75,3,1.4,WIN,5.5,10.5,-0.75
